id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3526150.0,Bangkalan,Kokop,0.7065,0.0,0.0,0.0,2,Zone 2: Hydrologic Conveyance,559
3512010.0,Situbondo,Sumbermalang,0.3853,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,560
3513190.0,Probolinggo,Gending,0.0,0.7097,70.97,0.0,3,Zone 3: Rain-Shadow & Fodder,561
3515130.0,Sidoarjo,Sedati,0.0,0.2368,23.68,0.0,4,Zone 4: Ecological Catchment,562
3513090.0,Probolinggo,Krucil,0.2882,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,563
3512051.0,Situbondo,Bungatan,0.6095,0.0492,4.92,0.0,2,Zone 2: Hydrologic Conveyance,564
3513010.0,Probolinggo,Sukapura,0.4841,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,565
3520010.0,Magetan,Poncol,0.5697,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,566
3514030.0,Pasuruan,Puspo,0.4755,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,567
3576010.0,Kota Mojokerto,Mojokerto Barat,0.5504,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,568
3505040.0,Blitar,Wates,0.5153,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,569
3505061.0,Blitar,Solorejo,0.511,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,570
3507710.0,Kota Batu,Batu,0.4495,0.0,0.0,0.0,4,Zone 4: Ecological Catchment,571
